"score"	"label"	"x0"	"y0"	"x1"	"y1"
0.9963521957397461	"person"	275.42	187.96	348.23	415.71
0.9963098168373108	"person"	379.27	155.74	430.81	358.83
0.9941279888153076	"person"	458.29	135.45	517.94	304.26
0.9930111765861511	"person"	339.29	182.12	384.48	379.54
0.9864791035652161	"person"	71.73	164.13	181.24	415.58
0.9849845170974731	"boat"	249.22	53.3	422.75	88.26
0.9770519137382507	"boat"	121.22	40.79	219.91	67.82
0.9739454984664917	"person"	514.36	148.19	554.54	304.1
0.9703752994537354	"boat"	43.5	33.52	113.0	56.73
0.967982828617096	"person"	176.26	201.65	256.87	403.03
0.965892493724823	"boat"	403.65	59.76	576.12	96.48
0.9567222595214844	"person"	564.46	138.98	600.02	250.13
0.9555619359016418	"tie"	127.33	152.18	133.93	171.7
0.9489129781723022	"person"	16.15	164.86	90.38	410.99
0.9423125982284546	"person"	278.87	187.34	353.08	415.46
0.9088314771652222	"boat"	191.26	30.1	311.28	54.7
0.9029356241226196	"person"	167.1	115.61	231.4	234.28
0.893116295337677	"boat"	296.28	45.82	403.17	73.56
0.8846595287322998	"tie"	387.7	191.3	403.35	223.48
0.8802648782730103	"person"	413.95	132.99	452.06	299.11
0.8788386583328247	"person"	160.37	66.31	189.22	123.4
0.8758369088172913	"boat"	483.93	70.8	600.44	114.09
0.8684995770454407	"person"	104.63	123.22	158.9	217.65
0.8534051179885864	"person"	-0.06	158.23	38.09	384.67
0.8521305918693542	"person"	375.33	93.94	401.72	169.38
0.8371052145957947	"person"	40.03	90.07	70.64	169.68
0.8277543783187866	"boat"	392.07	0.08	569.32	36.42
0.8256721496582031	"person"	322.5	143.14	378.14	209.4
0.8186702728271484	"boat"	395.65	0.1	556.44	53.24
0.8063691854476929	"boat"	194.83	28.49	288.13	50.67
0.800999104976654	"tie"	522.15	169.55	529.68	187.45
0.7563031911849976	"boat"	579.29	17.09	600.03	108.72
0.7479597926139832	"tie"	233.92	199.1	243.42	220.17
0.7368397116661072	"person"	192.26	74.31	219.98	122.18
0.7302089333534241	"person"	240.06	177.76	291.2	333.07
0.7290976643562317	"boat"	0.15	1.63	52.46	36.79
0.7069734930992126	"tie"	225.06	125.6	242.43	163.5
0.6882175803184509	"boat"	100.67	0.08	585.83	66.96
0.687781572341919	"boat"	29.69	9.69	103.18	56.84
0.6800727844238281	"person"	161.55	114.38	192.2	222.61
0.6704225540161133	"baseball bat"	263.68	137.25	347.08	209.42
0.6586488485336304	"person"	350.01	97.57	375.25	169.35
0.6499106287956238	"boat"	98.7	2.6	167.02	29.66
0.6363598704338074	"person"	0.01	188.36	18.77	414.82
0.6148855686187744	"tie"	253.93	202.69	269.07	225.1
0.6125155687332153	"person"	227.18	120.34	267.73	170.6
0.5837820172309875	"boat"	107.89	0.44	181.04	30.59
0.5567079782485962	"person"	304.71	131.67	334.57	181.75
0.5252456068992615	"boat"	424.3	25.18	503.48	63.57
0.5227885246276855	"person"	247.22	175.83	294.72	380.01
