"score"	"label"	"x0"	"y0"	"x1"	"y1"
0.9995949864387512	"person"	146.9	273.76	209.76	468.97
0.9988105297088623	"person"	469.51	274.1	547.24	461.08
0.9986555576324463	"person"	383.94	273.78	428.77	460.33
0.9962781071662903	"person"	418.82	289.92	472.99	452.31
0.9957008957862854	"person"	316.81	276.8	367.51	448.95
0.9811354279518127	"person"	273.1	265.13	326.97	474.01
0.964035153388977	"handbag"	487.69	368.01	515.08	401.2
0.9483301639556885	"person"	229.05	273.2	286.78	460.14
0.9304872751235962	"tie"	495.51	305.92	503.82	321.16
0.8986639976501465	"person"	237.42	267.58	320.67	474.87
0.8579968810081482	"tie"	319.02	303.67	330.28	320.8
0.8421258330345154	"person"	521.59	295.15	546.72	389.32
0.8242967128753662	"tie"	267.49	302.39	280.83	318.21
0.8067424297332764	"tie"	428.72	308.8	439.97	322.58
0.7912434339523315	"person"	15.44	308.15	42.81	373.19
0.6934671401977539	"tie"	274.16	303.41	285.13	319.09
0.6737180948257446	"person"	0.01	302.13	17.9	379.17
0.6562198400497437	"tie"	404.44	304.32	416.84	321.44
0.6092532277107239	"person"	71.0	316.76	87.28	379.51
0.5865410566329956	"tie"	435.95	308.2	447.63	322.56
0.5597139596939087	"tie"	389.09	301.29	405.43	319.94
0.5305110812187195	"tie"	352.23	294.07	369.96	324.01
0.5133355855941772	"tie"	309.39	299.8	319.43	313.02
